"dose","risk","risk_log10","abfail","dataset","scenario","curve","fr"
4,1.31083358868578e-05,-4.88245243882308,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
4.5,4.14516102822393e-05,-4.38245859362741,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
5,0.000131075626857435,-3.88247805663484,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
5.5,0.000414438790748539,-3.38253960215373,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
6,0.00130998340185284,-2.88273420703842,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
6.5,0.0041366672653419,-2.38334941036807,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
7,0.013022880618656,-1.88529294062083,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
7.5,0.0406050651483051,-1.39141978837473,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
8,0.122856100040585,-0.910603275096027,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
2,5.84273280201941e-07,-6.23338397425142,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
2.5,1.84763317412351e-06,-5.73338424862865,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
3,5.8427174397524e-06,-5.23338511614114,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
3.5,1.8476178123672e-05,-4.73338785949353,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
4,5.84256382404336e-05,-4.23339653468611,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
4.5,0.000184746420381798,-3.73342396767464,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
5,0.000584102796350794,-3.23351071460124,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
5.5,0.00184592905445491,-2.73378499445357,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
6,0.00582569892945717,-2.23465196334962,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
6.5,0.0183067074685692,-1.73738975820039,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
7,0.0567532305755737,-1.24600941199894,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
7.5,0.168699126850858,-0.772887165216659,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
8,0.442489226318619,-0.35409729899403,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.05",0.05
2,1.15075932971553e-06,-5.93901549540201,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
2.5,3.63901599331751e-06,-5.43901603570415,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
3,1.15075337066006e-05,-4.93901774434455,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
3.5,3.63895640290712e-05,-4.43902314751634,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
4,0.000115069378199162,-3.93904023369858,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
4.5,0.000363836057056699,-3.43909426347817,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
5,0.00115009812150935,-2.93926510589664,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
5.5,0.00363240939605847,-2.43980520959225,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
6,0.0114416407438936,-1.94151169276979,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
6.5,0.035736060943828,-1.44689331989525,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
7,0.108701596622155,-0.963764076897153,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
7.5,0.305040884282691,-0.515641948756755,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
8,0.683603780574944,-0.165195544139867,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.1",0.1
