"dose","risk","risk_log10","abfail","alpha_s","beta_s","model","panel","variable"
5.5,6.31302033744507e-05,-4.19976281158728,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
6,0.000199546106742998,-3.6999567411274,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
6.5,0.000630130980182719,-3.20056916791439,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
7,0.00198382078814829,-2.70249756314639,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
7.5,0.00618707416201314,-2.20851467823246,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
8,0.0187593744034961,-1.72678164877357,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
2,1.33243098998648e-07,-6.87535527494243,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
2.5,4.21351331936215e-07,-6.37535562888969,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
3,1.33242647137877e-06,-5.87535674774645,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
3.5,4.21346813983536e-06,-5.37536028565066,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
4,1.33238129408353e-05,-4.87537147319891,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
4.5,4.21301642028471e-05,-4.37540684820163,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
5,0.000133192974371532,-3.87551868261426,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
5.5,0.000420850625684421,-3.37587202281602,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
6,0.00132743638288435,-2.8769862832215,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
6.5,0.00416409566561948,-2.38047930159825,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
7,0.0128460090686818,-1.89123177573021,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
7.5,0.0377885890787537,-1.42263932313329,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
8,0.0992464871091698,-1.00328485641475,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.01"
2,5.8634397359647e-07,-6.23184753413832,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
2.5,1.85417438791635e-06,-5.73184942221518,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
3,5.86333363883362e-06,-5.23185539263393,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
3.5,1.85406829777968e-05,-4.73187427191616,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
4,5.8622729407487e-05,-4.23193396517061,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
4.5,0.000185300824161794,-3.73212264906684,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
5,0.000585169262755092,-3.23271849417769,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
5.5,0.00184249144967186,-2.7345945188659,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
6,0.00574848384678928,-2.24044668466671,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
6.5,0.0174502304457426,-1.7581988334238,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
7,0.0491977577876345,-1.30805468996938,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
7.5,0.118589062965968,-0.925955362511,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
8,0.229194795229223,-0.639795248959855,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.05"
2,1.15271796730099e-06,-5.9382769374822,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
2.5,3.64518221362964e-06,-5.438280757498,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
3,1.15267576670242e-05,-4.93829283714118,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
3.5,3.64476025848104e-05,-4.43833103300938,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
4,0.000115225397333885,-3.93845178561511,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
4.5,0.000364054743345998,-3.43883330606116,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
5,0.00114805722129341,-2.94003646535908,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
5.5,0.00359908016171218,-2.4438084802708,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
6,0.0110809596109898,-1.95542262808126,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
6.5,0.0324064926281769,-1.48936797034563,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
7,0.0838307128380318,-1.0765968408876,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
7.5,0.176196024477303,-0.754003894828896,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
8,0.296491206989786,-0.527988181936956,"Untreatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0.1"
