"dose","risk","outcome","variable","scenario","model","dataset","panel"
5,-3.23220905996336,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
5.5,-2.73408374786504,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
6,-2.23993172745117,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
6.5,-1.75767103046967,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
7,-1.30748970122873,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
7.5,-0.925297510291605,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
8,-0.638972546717034,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
2,-6.24612903552069,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
2.5,-5.74613096702081,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
3,-5.24613707454096,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
3.5,-4.74615638738632,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
4,-4.2462174516003,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
4.5,-3.74641046987411,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
5,-3.24702001164101,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
5.5,-2.74893925098813,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
6,-2.25492710950852,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
6.5,-1.77309917993274,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
7,-1.32420329607797,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
7.5,-0.94549096941298,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
8,-0.66722418871317,"Lower treatability","2.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
2,-7.69967311007548,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
2.5,-7.19967317119905,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
3,-6.69967336482902,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
3.5,-6.19967397855741,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
4,-5.69967591906154,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
4.5,-5.19968205537733,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
5,-4.69970145930782,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
5.5,-4.19976281158728,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
6,-3.6999567411274,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
6.5,-3.20056916791439,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
7,-2.70249756314639,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
7.5,-2.20851467823246,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
8,-1.72678164877357,"Higher treatability","0","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
2,-6.87535527494243,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
2.5,-6.37535562888969,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
3,-5.87535674774645,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
3.5,-5.37536028565066,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
4,-4.87537147319891,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
4.5,-4.37540684820163,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
5,-3.87551868261426,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
5.5,-3.37587202281602,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
6,-2.8769862832215,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
6.5,-2.38047930159825,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
7,-1.89123177573021,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
7.5,-1.42263932313329,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
8,-1.00328485641475,"Lower treatability","0.01","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
2,-6.23184753413832,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
2.5,-5.73184942221518,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
3,-5.23185539263393,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
3.5,-4.73187427191616,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
4,-4.23193396517061,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
4.5,-3.73212264906684,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
5,-3.23271849417769,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
5.5,-2.7345945188659,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
6,-2.24044668466671,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
6.5,-1.7581988334238,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
7,-1.30805468996938,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
7.5,-0.925955362511,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
8,-0.639795248959855,"Lower treatability","0.05","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
2,-5.9382769374822,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
2.5,-5.438280757498,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
3,-4.93829283714118,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
3.5,-4.43833103300938,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
4,-3.93845178561511,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
4.5,-3.43883330606116,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
5,-2.94003646535908,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
5.5,-2.4438084802708,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
6,-1.95542262808126,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
6.5,-1.48936797034563,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
7,-1.0765968408876,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
7.5,-0.754003894828896,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
8,-0.527988181936956,"Lower treatability","0.1","Varying resistant fraction","Beta-Poisson","Dataset 2","D"
