"dose","riskbp","riskbp_log10","abfailbp","alpha_s","beta_s","antibiotic","pMIC","fr","scenario"
4.5,0.00328048198887498,-2.48406234234615,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
5,0.0102894465782728,-1.98760798330032,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
5.5,0.0317247291969757,-1.49860207636521,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
6,0.0930309618754908,-1.03137248871668,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
6.5,0.240193706078619,-0.619438376829605,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
7,0.488118168145893,-0.311475027257096,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
7.5,0.743336617760885,-0.128814472740187,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
8,0.90391568062773,-0.0438720796419097,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
8.5,0.970882406978171,-0.0128333685401498,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
9,0.992069248063193,-0.00345801231951739,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
